0.83 6
0.92 37
0.81 26
0.97 32
0.75 24
0.69 16
0.95 22
1.00 5
1.00 5
0.97 30
0.81 21
0.86 14
0.73 15
0.88 26
0.78 37
0.69 13
0.91 11
0.86 7
0.81 21
0.93 28
1.00 8
0.85 33
0.83 23
0.89 18
0.70 20
0.83 12
0.88 25
0.90 21
1.00 10
0.67 3
0.94 18
0.85 40
0.75 4
0.77 22
0.79 24
0.80 20
0.93 15
0.93 14
0.78 32
0.79 19
0.80 30
0.69 13
0.84 31
0.91 11
0.88 8
0.88 32
0.69 26
0.81 26
0.80 15
1.00 4
0.86 14
0.76 17
0.91 22
0.86 14
0.87 23
0.93 41
0.88 26
0.84 25
0.86 7
0.76 21
0.85 20
0.65 17
1.00 15
0.86 22
0.90 29
0.67 15
0.96 23
0.78 23
0.86 29
0.90 30
0.75 12
0.83 12
0.90 21
0.88 26
0.80 5
0.87 23
0.80 15
0.79 29
0.92 13
0.84 25
1.00 12
0.79 14
0.77 22
0.62 13
0.71 35
0.89 18
0.73 15
0.88 24
0.95 22
0.71 7
1.00 2
1.00 2
0.78 18
0.75 24
0.88 32
0.84 19
0.87 31
0.88 26
0.93 28
0.81 31
0.81 27
1.00 8
1.00 6
0.85 20
0.82 17
0.86 36
0.92 25
0.83 18
0.78 32
0.70 23
0.87 47
0.76 21
0.79 28
0.80 10
0.80 41
0.91 23
0.83 24
0.78 46
0.75 24
0.86 29
0.95 22
0.85 13
0.84 19
0.88 16
0.77 13
0.77 31
0.71 14
0.60 15
0.90 29
0.92 13
0.90 10
0.84 19
0.89 28
0.93 15
0.89 18
1.00 31
0.94 17
0.85 26
0.81 31
0.71 7
0.75 4
0.80 5
0.85 13
0.92 24
0.80 20
0.86 7
0.79 14
0.94 16
1.00 29
0.96 28
0.92 24
0.86 21
0.89 9
0.92 24
0.89 18
0.93 14
0.76 17
0.95 19
0.80 20
0.73 22
0.82 11
0.91 23
0.93 27
0.94 18
0.95 19
0.76 21
0.80 15
0.90 10
0.75 8
1.00 8
0.84 19
0.92 12
0.75 8
0.88 17
0.93 15
0.87 15
0.77 22
0.94 18
0.88 17
0.69 26
0.67 9
0.83 12
0.82 22
0.78 18
0.81 32
0.90 29
0.88 8
0.81 16
0.86 22
0.75 12
0.95 19
0.90 21
